,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Krasnoselkup,RU,65.7,82.4667,67.32,71,100,4.72,overcast clouds
141,Saint George,US,37.1041,-113.5841,96.64,23,1,1.99,clear sky
142,Touros,BR,-5.1989,-35.4608,72.5,88,14,15.32,few clouds
143,Constitucion,CL,-35.3333,-72.4167,52.54,67,0,4.97,clear sky
144,Tamugan,PH,7.2308,125.3764,87.24,64,93,2.71,overcast clouds
145,Riverton,US,40.5219,-111.9391,76.19,67,1,1.01,clear sky
146,Cavalcante,BR,-13.7975,-47.4583,61.83,48,61,4.47,broken clouds
147,Edd,ER,13.9297,41.6925,88.57,65,96,6.24,overcast clouds
148,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,20,9.22,few clouds
149,Lima,PE,-12.0432,-77.0282,60.13,88,90,9.22,overcast clouds
150,Esperance,AU,-33.8667,121.9,58.84,67,80,15.41,broken clouds
151,Itarema,BR,-2.9248,-39.9167,74.1,83,39,3.44,scattered clouds
152,Araouane,ML,18.9048,-3.5265,93.07,36,24,6.89,few clouds
153,Cherskiy,RU,68.75,161.3,46.18,58,100,20.2,overcast clouds
154,Haines Junction,CA,60.7522,-137.5108,58.95,82,83,8.05,moderate rain
155,Sirjan,IR,29.452,55.6814,80.69,33,59,3.91,broken clouds
156,Dingle,PH,10.9995,122.6711,88.27,64,100,18.16,moderate rain
157,Ortakoy,TR,38.7373,34.0387,59.25,68,0,3.8,clear sky
158,Hasaki,JP,35.7333,140.8333,97.29,77,58,14.27,broken clouds
159,Axim,GH,4.8699,-2.2405,75.42,91,97,4.12,overcast clouds
160,Dryden,CA,49.7833,-92.7503,68.29,64,90,9.22,haze
161,Jibuti,DJ,11.5,42.5,87.22,62,23,12.57,light rain
162,San Rafael,AR,-34.6177,-68.3301,53.8,29,0,6.4,clear sky
163,Boguchany,RU,58.3814,97.4531,76.05,49,46,6.69,scattered clouds
164,Sakaraha,MG,-22.9,44.5333,53.35,95,1,3.74,clear sky
165,Mahebourg,MU,-20.4081,57.7,68.25,88,20,9.22,few clouds
166,Cidreira,BR,-30.1811,-50.2056,49.75,89,1,5.5,clear sky
167,Maragogi,BR,-9.0122,-35.2225,73.08,88,66,9.62,broken clouds
168,Tilichiki,RU,60.4667,166.1,51.01,49,100,20.47,overcast clouds
169,Obihiro,JP,42.9172,143.2044,89.01,65,70,5.37,broken clouds
170,San Quintin,MX,30.4833,-115.95,72.07,72,5,7.23,clear sky
171,Matay,EG,28.419,30.7792,83.25,42,0,5.82,clear sky
172,Aklavik,CA,68.2191,-135.0107,52.63,82,100,12.71,overcast clouds
173,Rawson,AR,-43.3002,-65.1023,53.29,56,64,10.76,broken clouds
174,Torbay,CA,47.6666,-52.7314,58.28,94,90,18.41,light rain
175,Boguchar,RU,49.9358,40.545,78.01,51,58,3.33,broken clouds
176,Tahta,EG,26.7693,31.5021,82.72,18,5,1.77,clear sky
177,Carnarvon,AU,-24.8667,113.6333,68.07,29,0,13.8,clear sky
178,Mattoon,US,39.4831,-88.3728,64.62,77,1,0.0,clear sky
179,Antofagasta,CL,-23.65,-70.4,56.48,72,6,1.07,clear sky
180,Coruripe,BR,-10.1256,-36.1756,71.76,90,73,9.37,broken clouds
181,Mogadishu,SO,2.0371,45.3438,75.07,69,75,4.61,broken clouds
182,Upernavik,GL,72.7868,-56.1549,46.6,70,96,10.18,overcast clouds
183,Kloulklubed,PW,7.0419,134.2556,81.1,77,100,13.73,overcast clouds
184,Luderitz,NA,-26.6481,15.1594,65.8,34,0,5.35,clear sky
185,Wonthaggi,AU,-38.6044,145.5913,57.06,76,70,17.52,light rain
186,Camacha,PT,33.0833,-16.3333,69.53,73,40,10.36,scattered clouds
187,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,70.14,43,8,4.88,clear sky
188,Bonfim,BR,3.0833,-59.95,72.99,92,92,4.03,overcast clouds
189,Hirara,JP,24.8,125.2833,80.87,94,75,2.3,broken clouds
190,Hithadhoo,MV,-0.6,73.0833,82.38,72,97,9.37,overcast clouds
191,Villazon,BO,-22.0866,-65.5942,36.46,68,98,6.42,overcast clouds
192,La Romana,DO,18.4273,-68.9728,80.33,100,20,5.75,few clouds
193,Tabou,CI,4.423,-7.3528,74.77,81,50,5.21,scattered clouds
194,San Jeronimo,PE,-11.9472,-75.2829,45.23,75,41,2.8,scattered clouds
195,Dubuque,US,42.4833,-90.8668,67.5,66,1,0.0,clear sky
196,Vung Tau,VN,10.346,107.0843,86.79,67,99,16.67,overcast clouds
197,Borgarnes,IS,64.5383,-21.9206,52.36,92,100,2.37,overcast clouds
198,Suntar,RU,62.1444,117.6319,72.46,65,51,7.54,light rain
199,Iquique,CL,-20.2208,-70.1431,59.04,76,33,5.46,scattered clouds
200,Vostok,RU,46.4856,135.8833,74.62,85,93,2.48,overcast clouds
201,Moron,AR,-34.6534,-58.6198,53.35,96,0,1.14,fog
202,Ketchikan,US,55.3422,-131.6461,63.07,67,1,9.22,clear sky
203,Mar Del Plata,AR,-38.0023,-57.5575,49.12,52,0,5.99,clear sky
204,Garowe,SO,8.4054,48.4845,76.89,57,18,26.93,few clouds
205,Nara,JP,34.6851,135.8049,84.25,94,100,3.83,moderate rain
206,Itaqui,BR,-29.1253,-56.5531,45.88,81,0,7.7,clear sky
207,Pangody,RU,65.85,74.4859,69.49,55,54,9.55,broken clouds
208,Maniitsoq,GL,65.4167,-52.9,47.32,88,88,9.53,overcast clouds
209,Santa Barbara,US,34.7333,-120.0343,67.82,72,1,4.61,clear sky
210,Gunjur,GM,13.2019,-16.7339,75.27,100,75,13.8,broken clouds
211,Albury,AU,-36.0833,146.9167,53.02,81,40,13.8,light rain
212,Hokota,JP,36.15,140.5167,97.29,82,40,8.05,scattered clouds
213,Puerto Ayora,EC,-0.7393,-90.3518,70.72,91,63,9.57,broken clouds
214,Puerto Maldonado,PE,-12.6,-69.1833,64.72,48,2,2.62,clear sky
215,Kuandian,CN,40.7286,124.7847,78.8,75,54,6.6,light rain
216,Scottsbluff,US,41.8666,-103.6672,78.12,45,1,3.44,clear sky
217,North Bend,US,43.4065,-124.2243,58.91,88,90,8.05,overcast clouds
218,Hovd,MN,48.0056,91.6419,70.81,34,0,4.68,clear sky
219,Grand Gaube,MU,-20.0064,57.6608,68.38,66,0,5.5,clear sky
220,Bethel,US,41.3712,-73.414,68.13,82,1,3.44,clear sky
221,Victor Harbor,AU,-35.5667,138.6167,55.49,62,84,17.63,broken clouds
222,Adrar,MR,20.5022,-10.0711,88.74,41,58,12.93,broken clouds
223,Dikson,RU,73.5069,80.5464,51.6,80,100,7.65,overcast clouds
224,Severo-Yeniseyskiy,RU,60.3725,93.0408,68.95,52,46,2.82,light rain
225,Havoysund,NO,70.9963,24.6622,50.23,83,16,18.37,few clouds
226,Muyezerskiy,RU,63.9333,31.65,55.24,98,100,12.46,moderate rain
227,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,82,0,9.22,clear sky
228,Ostrovnoy,RU,68.0531,39.5131,51.15,96,94,5.01,overcast clouds
229,Makakilo City,US,21.3469,-158.0858,86.32,49,1,11.5,clear sky
230,Yar-Sale,RU,66.8333,70.8333,64.06,68,99,3.24,overcast clouds
231,Cockburn Town,TC,21.4612,-71.1419,81.82,78,83,18.88,broken clouds
232,Berlevag,NO,70.8578,29.0864,48.2,79,64,4.99,broken clouds
233,Ihosy,MG,-22.4,46.1167,54.99,68,0,3.76,clear sky
234,Chikmagalur,IN,13.3167,75.7833,70.83,76,85,11.03,overcast clouds
235,Kruisfontein,ZA,-34.0033,24.7314,48.87,86,0,8.63,clear sky
236,Darbhanga,IN,26.1667,85.9,87.85,67,88,0.83,overcast clouds
237,Guerrero Negro,MX,27.9769,-114.0611,73.99,75,77,10.87,broken clouds
238,Viedma,AR,-40.8135,-62.9967,52.83,40,31,6.17,scattered clouds
239,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,1.14,overcast clouds
240,Izhma,RU,65.0083,53.9113,63.27,81,20,4.05,few clouds
241,Colac,AU,-38.3333,143.5833,54.16,86,81,13.09,light rain
242,Erzin,TR,36.9559,36.2,79.52,69,1,1.1,clear sky
243,Mehamn,NO,71.0357,27.8492,50.18,81,0,5.75,clear sky
244,Airai,TL,-8.9266,125.4092,77.56,32,26,5.7,scattered clouds
245,Coahuayana,MX,18.7333,-103.6833,79.18,88,84,1.39,broken clouds
246,Saint-Pierre,RE,-21.3393,55.4781,67.68,58,75,9.22,broken clouds
247,San Patricio,US,28.017,-97.5169,85.86,74,95,4.54,overcast clouds
248,Matai,TZ,-8.3,31.5167,50.05,75,1,5.37,clear sky
249,Stonewall,CA,50.1344,-97.3268,73.71,36,22,3.89,few clouds
250,Alice Springs,AU,-23.7,133.8833,60.35,31,0,14.97,clear sky
251,Royan,FR,45.6285,-1.0281,62.58,81,95,9.53,overcast clouds
252,Mlalo,TZ,-4.9333,38.9333,67.39,84,40,5.57,scattered clouds
253,Chokwe,MZ,-24.5333,32.9833,59.77,93,0,4.5,clear sky
254,Bokoro,TD,12.3807,17.0568,75.88,83,90,8.34,light rain
255,Olinda,BR,-8.0089,-34.8553,73.13,88,75,10.36,broken clouds
256,Statesboro,US,32.4488,-81.7832,75.0,94,75,4.61,broken clouds
257,Ponta Delgada,PT,37.7333,-25.6667,66.92,82,20,8.05,few clouds
258,Waynesville,US,35.4887,-82.9887,69.78,81,97,1.01,overcast clouds
259,Souillac,MU,-20.5167,57.5167,68.36,88,20,9.22,few clouds
260,Kalmunai,LK,7.4167,81.8167,86.92,52,100,1.54,overcast clouds
261,Toamasina,MG,-18.1667,49.3833,60.8,94,40,2.3,scattered clouds
262,Hearst,CA,49.6835,-83.6665,59.25,98,100,4.92,overcast clouds
263,Ordzhonikidze,KZ,52.4411,61.7408,78.06,44,60,0.69,broken clouds
264,Cap Malheureux,MU,-19.9842,57.6142,68.47,66,0,5.82,clear sky
265,Whyalla,AU,-33.0333,137.5833,58.89,47,40,20.71,scattered clouds
266,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,89,90,11.5,overcast clouds
267,La Ronge,CA,55.1001,-105.2842,70.05,56,90,1.14,smoke
268,Sulejowek,PL,52.2522,21.269,60.12,92,77,6.22,broken clouds
269,Te Anau,NZ,-45.4167,167.7167,44.96,79,68,2.64,broken clouds
