City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Kushima,JP,89.11,broken clouds,31.4583,131.2333,Hanaoka
577,Portland,US,84.88,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
579,Khandyga,RU,79.66,broken clouds,62.6667,135.6,Apel'sin
580,Hobe Sound,US,82.94,clear sky,27.0595,-80.1364,Floridays RV Park
581,Surt,LY,81.7,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
582,Promyshlennaya,RU,70.75,scattered clouds,54.9159,85.6385,Ulitsa Tel'mana
586,Shingu,JP,80.91,light rain,33.7333,135.9833,Shingu UI Hotel
589,Cairns,AU,88.95,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
591,Trebisacce,IT,78.98,few clouds,39.8708,16.5312,Hotel Ristorante Pizzeria 111
592,Boffa,GN,73.4,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
594,Biak,ID,83.59,scattered clouds,-0.9131,122.8766,Penginapan Kim
595,Newark,US,75.11,few clouds,40.7357,-74.1724,Best Western Plus Robert Treat Hotel
597,Port Macquarie,AU,71.56,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
598,Ranong,TH,76.93,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
601,Udachnyy,RU,80.74,overcast clouds,66.4167,112.4,Severnoye Siyaniye
602,Maceio,BR,71.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
604,College,US,87.75,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
605,Jiuquan,CN,79.7,clear sky,39.7432,98.5174,Jiuquan Hotel
606,Conde,BR,71.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
607,Balikpapan,ID,77.99,moderate rain,-1.2675,116.8289,ibis Balikpapan
610,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
612,Pacifica,US,73.0,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
613,Khandbari,NP,80.83,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
616,Zhangjiakou,CN,78.06,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
620,Sur,OM,90.0,broken clouds,22.5667,59.5289,Sur Plaza Hotel
621,Dicabisagan,PH,88.88,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
