City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Junction City,US,2021-07-30 03:28:06,39.0286,-96.8314,87.66,64,1,1.99
168,Port Hawkesbury,CA,2021-07-30 03:28:06,45.6169,-61.3485,63.59,74,20,1.99
169,Kuala Pilah,MY,2021-07-30 03:28:06,2.7389,102.2487,81.43,65,98,3.78
170,Turayf,SA,2021-07-30 03:28:07,31.6725,38.6637,71.85,64,0,5.75
171,Waipawa,NZ,2021-07-30 03:28:07,-41.4122,175.5153,57.83,64,2,4.63
172,Vila,PT,2021-07-30 03:28:07,42.0304,-8.1588,52.93,90,0,2.33
173,Bria,CF,2021-07-30 03:28:08,6.5423,21.9863,67.12,96,81,1.74
174,Emerald,AU,2021-07-30 03:28:08,-23.5333,148.1667,77.14,31,0,8.05
175,Ancud,CL,2021-07-30 03:28:08,-41.8697,-73.8203,45.93,88,100,9.95
176,Geraldton,AU,2021-07-30 03:28:09,-28.7667,114.6,65.12,68,75,23.02
177,Danshui,CN,2021-07-30 03:28:09,22.7984,114.4672,85.66,71,91,3.24
178,Airai,TL,2021-07-30 03:28:09,-8.9266,125.4092,77.38,30,5,3.98
179,Impfondo,CG,2021-07-30 03:28:10,1.6381,18.0667,72.03,70,46,0.13
180,Morondava,MG,2021-07-30 03:28:10,-20.2833,44.2833,68.0,66,24,6.4
181,Takoradi,GH,2021-07-30 03:28:10,4.8845,-1.7554,74.95,90,20,8.25
182,Kahului,US,2021-07-30 03:28:11,20.8947,-156.47,82.42,81,40,25.32
183,Dwarka,IN,2021-07-30 03:28:11,22.2394,68.9678,82.85,82,99,24.29
184,Raudeberg,NO,2021-07-30 03:28:11,61.9875,5.1352,61.47,90,66,17.98
185,Kaitangata,NZ,2021-07-30 03:28:12,-46.2817,169.8464,54.93,80,94,9.13
186,Koygorodok,RU,2021-07-30 03:28:12,60.445,50.9968,59.11,99,100,3.22
187,Cayenne,GF,2021-07-30 03:28:12,4.9333,-52.3333,76.08,90,0,0.0
188,Hervey Bay,AU,2021-07-30 03:28:13,-25.2986,152.8535,71.71,60,23,12.57
189,Oranjestad,AW,2021-07-30 03:28:13,12.524,-70.027,82.35,78,20,21.85
190,Tuatapere,NZ,2021-07-30 03:28:13,-46.1333,167.6833,50.83,77,100,1.57
191,Boende,CD,2021-07-30 03:28:13,-0.2167,20.8667,72.59,55,66,1.03
192,Maiduguri,NG,2021-07-30 03:28:14,11.8464,13.1603,73.58,89,100,6.02
193,Urumqi,CN,2021-07-30 03:28:14,43.801,87.6005,81.55,30,0,2.24
194,Victoria,HK,2021-07-30 03:28:14,22.2855,114.1577,84.38,89,99,1.01
195,Yamada,JP,2021-07-30 03:28:15,39.4667,141.95,80.76,75,41,10.22
196,Ribeira Grande,PT,2021-07-30 03:28:15,38.5167,-28.7,70.43,87,9,6.64
197,Avarua,CK,2021-07-30 03:28:16,-21.2078,-159.775,75.25,69,39,3.44
198,Vardo,NO,2021-07-30 03:28:16,70.3705,31.1107,44.8,86,100,4.68
199,Asyut,EG,2021-07-30 03:28:16,27.181,31.1837,78.98,29,68,4.14
200,Karratha,AU,2021-07-30 03:28:17,-20.7377,116.8463,76.68,53,0,14.18
201,Novikovo,RU,2021-07-30 03:28:17,51.1537,37.8879,66.6,89,70,4.76
202,Khushab,PK,2021-07-30 03:28:17,32.2967,72.3525,89.01,66,35,11.14
203,Belmonte,BR,2021-07-30 03:28:18,-15.8631,-38.8828,70.3,88,89,17.25
204,Poum,NC,2021-07-30 03:28:18,-20.2333,164.0167,73.9,69,2,13.73
205,Berlevag,NO,2021-07-30 03:28:18,70.8578,29.0864,44.6,84,100,3.8
206,Oban,GB,2021-07-30 03:28:19,56.4127,-5.4706,55.85,91,67,3.51
207,Mahebourg,MU,2021-07-30 03:28:19,-20.4081,57.7,68.25,88,75,16.11
208,Yulara,AU,2021-07-30 03:28:19,-25.2406,130.9889,78.64,24,0,18.41
209,Richards Bay,ZA,2021-07-30 03:28:20,-28.783,32.0377,59.77,76,19,6.87
210,Norrtalje,SE,2021-07-30 03:28:20,59.758,18.705,60.84,94,25,5.73
211,Esperance,AU,2021-07-30 03:28:20,-33.8667,121.9,58.84,68,97,25.79
212,Zalantun,CN,2021-07-30 03:28:21,48.0,122.7167,79.99,73,8,5.66
213,Thompson,CA,2021-07-30 03:28:21,55.7435,-97.8558,68.16,64,75,3.44
214,Leningradskiy,RU,2021-07-30 03:28:21,69.3833,178.4167,32.7,98,100,19.75
